CountryCode,SeriesCode,Description
ARG,NY.GDP.PCAP.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on June 3, 2015: http://www.imf.org/external/np/sec/pr/2015/pr15252.htm."
TZA,NY.GDP.PCAP.KD,Covers mainland Tanzania only.
CYP,NY.GDP.PCAP.KD,Data are for areas under the effective control of the Government of the Republic of Cyprus.
AUS,SP.POP.TOTL,Data sources : Australian Bureau of Statistics
BMU,SP.POP.TOTL,Data sources : Bermuda Government Department of Statistics
HKG,SP.POP.TOTL,Data sources : Census and Statistics Department
ISR,SP.POP.TOTL,Data sources : Central Bureau of Statistics
CUW,SP.POP.TOTL,Data sources : Central bureau of Statistics
HRV,SP.POP.TOTL,"Data sources : Croatian Bureau of Statistics, Council of Europe"
SGP,SP.POP.TOTL,Data sources : Department of Statistics Singapore
JOR,SP.POP.TOTL,"Data sources : Department of Statistics, Jordan; 1994 Census"
IRL,SP.POP.TOTL,Data sources : Eurostat
ISL,SP.POP.TOTL,Data sources : Eurostat
HUN,SP.POP.TOTL,Data sources : Eurostat
GRC,SP.POP.TOTL,Data sources : Eurostat
ITA,SP.POP.TOTL,Data sources : Eurostat
LTU,SP.POP.TOTL,Data sources : Eurostat
LUX,SP.POP.TOTL,Data sources : Eurostat
LVA,SP.POP.TOTL,Data sources : Eurostat
MLT,SP.POP.TOTL,Data sources : Eurostat
CHE,SP.POP.TOTL,Data sources : Eurostat
CZE,SP.POP.TOTL,Data sources : Eurostat
DEU,SP.POP.TOTL,Data sources : Eurostat
ESP,SP.POP.TOTL,Data sources : Eurostat
EST,SP.POP.TOTL,Data sources : Eurostat
DNK,SP.POP.TOTL,Data sources : Eurostat
FIN,SP.POP.TOTL,Data sources : Eurostat
GBR,SP.POP.TOTL,Data sources : Eurostat
BGR,SP.POP.TOTL,Data sources : Eurostat
AUT,SP.POP.TOTL,Data sources : Eurostat
BEL,SP.POP.TOTL,Data sources : Eurostat
ROM,SP.POP.TOTL,Data sources : Eurostat
SVK,SP.POP.TOTL,Data sources : Eurostat
SVN,SP.POP.TOTL,Data sources : Eurostat
SWE,SP.POP.TOTL,Data sources : Eurostat
NLD,SP.POP.TOTL,Data sources : Eurostat
NOR,SP.POP.TOTL,Data sources : Eurostat
POL,SP.POP.TOTL,Data sources : Eurostat
PRT,SP.POP.TOTL,Data sources : Eurostat
AZE,SP.POP.TOTL,"Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects"
FRA,SP.POP.TOTL,"Data sources : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion."
MNE,SP.POP.TOTL,"Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards."
VNM,SP.POP.TOTL,Data sources : General Statistics Office of Vietnam
GEO,SP.POP.TOTL,Data sources : GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia.
NCL,SP.POP.TOTL,Data sources : Institute of Statistics and Economic Studies
ALB,SP.POP.TOTL,"Data sources : Institute of Statistics, Eurostat"
KOR,SP.POP.TOTL,Data sources : Korean Statistical Information Service
KSV,SP.POP.TOTL,"Data sources : Kosovo Agency of Statistics, U.S. Census Bureau"
JPN,SP.POP.TOTL,"Data sources : Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
UZB,SP.POP.TOTL,"Data sources : Ministry of Statistics, United Nations World Population Prospects"
SYC,SP.POP.TOTL,Data sources : National Bureau of Statistics
CHN,SP.POP.TOTL,Data sources : National Bureau of Statistics
TUN,SP.POP.TOTL,"Data sources : National Bureau of Statistics, 1994 Census"
MDA,SP.POP.TOTL,"Data sources : National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects 2010 Revision's growth rates of whole Moldova."
BLR,SP.POP.TOTL,Data sources : National Statistical Committee of the Republic of Belarus
KGZ,SP.POP.TOTL,"Data sources : National Statistical Committee, United Nations World Population Prospects"
TMP,SP.POP.TOTL,"Data sources : National Statistics Directorate, United Nations World Population Prospects"
LKA,SP.POP.TOTL,"Data sources : Registrar General's Department, Department of Census and Statistics"
RUS,SP.POP.TOTL,"Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census."
UKR,SP.POP.TOTL,"Data sources : State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report"
KAZ,SP.POP.TOTL,"Data sources : Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects"
JAM,SP.POP.TOTL,Data sources : Statistical Institute of Jamaica
SRB,SP.POP.TOTL,"Data sources : Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo."
CAN,SP.POP.TOTL,Data sources : Statistics Canada
MUS,SP.POP.TOTL,"Data sources : Statistics Mauritius, United Nations World Population Prospects"
NZL,SP.POP.TOTL,Data sources : Statistics New Zealand
ZAF,SP.POP.TOTL,"Data sources : Statistics South Africa, 1996 Census"
USA,SP.POP.TOTL,Data sources : U.S. Census Bureau
SEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
VCT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
VEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
URY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TZA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
UGA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TON,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TTO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TUR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TUV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TCD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TGO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
THA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TJK,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TKM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ZAR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ZMB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ZWE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
VUT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
WSM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
YEM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
OMN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PAK,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PAN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PER,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PHL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PLW,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PNG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PRY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PYF,SP.POP.TOTL,Data sources : United Nations World Population Prospects
QAT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PRK,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NPL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
STP,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SUR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SWZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
RWA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SAU,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SLB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SLE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SLV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SMR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
SOM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MWI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MYS,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NAM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NER,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NGA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
NIC,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MNG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MOZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MRT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MMR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MAR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MCO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LSO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LBR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LBY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LCA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LIE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MDG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MDV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MEX,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MHL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MKD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MLI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
MAC,SP.POP.TOTL,Data sources : United Nations World Population Prospects
IRN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KHM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KIR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KNA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
KWT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LAO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GHA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GIN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GMB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GNB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GNQ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GRD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GTM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GUY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
IDN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
IMY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
IND,SP.POP.TOTL,Data sources : United Nations World Population Prospects
HTI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
HND,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BLZ,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ARE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BHR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BHS,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BIH,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BOL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BRN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BTN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BWA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CAF,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BDI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BFA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
BGD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ARG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ARM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ATG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ABW,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ADO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
AFG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
AGO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CIV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CMR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
COG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
COL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
COM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CPV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CRI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CUB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
DJI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
DMA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CHL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CYM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
FRO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
FSM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
GAB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
FJI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
DOM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
DZA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ECU,SP.POP.TOTL,Data sources : United Nations World Population Prospects
EGY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ERI,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ETH,SP.POP.TOTL,Data sources : United Nations World Population Prospects
CYP,SP.POP.TOTL,Data sources : United Nations World Population Prospects
LBN,SP.POP.TOTL,"Data sources : United Nations World Population Prospects, UNHCR. Adjusted with Syrian refugees 2011 onwards."
IRQ,SP.POP.TOTL,"Data sources : United Nations World Population Prospects, UNHCR. Adjusted with Syrian refugees 2011 onwards."
SYR,SP.POP.TOTL,"Data sources : United Nations World Population Prospects, UNHCR. Adjusted with Syrian refugees 2011 onwards."
SDN,SP.POP.TOTL,Data sources : United Nations World Population Prospects. Estimates are for Sudan excluding South Sudan.
WBG,SP.POP.TOTL,"Data sources : World Bank estimates based on data from Palestinian Central Bureau of Statistics, excluding E. Jerusalem."
GEO,NY.GDP.PCAP.KD,Excludes Abkhazia and South Ossetia.
MDA,NY.GDP.PCAP.KD,Excludes Transnistria.
MAR,NY.GDP.PCAP.KD,Includes Former Spanish Sahara.
